team,short_range_fgm,short_range_fga,short_range_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,long_range_fgm,long_range_fga,long_range_fg_pct,three_range_fgm,three_range_fga,three_range_fg_pct,season
Dallas Mavericks,19.8,34.4,57.7,4.4,10.4,42.5,6.5,15.6,41.8,8.9,25.3,35.3,2014
Denver Nuggets,20.7,38.8,53.3,4,10.5,38.6,5,13.2,37.9,8,24.5,32.8,2014
Detroit Pistons,21.1,41.6,50.7,3.2,8.3,38.2,4.2,11,38.6,8.6,24.6,34.8,2014
Golden State Warriors,20.2,34.3,59,5.2,12.3,42.7,5.3,13.4,39.7,10.8,26.7,40.3,2014
Houston Rockets,21.4,38.6,55.5,2.3,6.4,36.4,1.8,5.6,32.8,11.4,32.5,35,2014
Indiana Pacers,16.8,31.5,53.4,4.5,12,37.8,7.7,18.5,41.8,7.5,21,35.6,2014
Los Angeles Clippers,17,28.3,60,4.4,9.9,43.9,8,18.2,43.6,10.1,26.7,37.8,2014
Los Angeles Lakers,18.3,33,55.3,5.2,13.8,37.6,7.3,20,36.6,6.5,18.7,34.6,2014
Memphis Grizzlies,21,38.2,54.8,5.9,14.3,41.7,5.7,14.8,38.6,5.1,14.9,34.4,2014
Miami Heat,17.9,31,57.9,5,11.8,42.4,5.5,14.2,38.5,6.8,20,33.8,2014
Milwaukee Bucks,19.8,36.8,53.9,4.9,11.2,44.2,6.2,15.7,39.3,6.6,18.2,36.5,2014
Minnesota Timberwolves,19.2,35.8,53.5,5.1,12.9,39.8,7.1,19.5,36.6,4.9,14.7,33.5,2014
New Orleans Pelicans,20.9,38.8,53.8,4.3,10.8,40,5.6,14,39.8,7.1,19.1,37.4,2014
New York Knicks,14.9,29.4,50.8,5.1,12.7,40,8.3,20.2,41,6.8,19.5,35,2014
Oklahoma City Thunder,20.4,37.6,54.4,5.3,12.2,43.4,5.4,14.3,37.8,7.7,22.6,34.1,2014
Orlando Magic,20.3,37.6,54,4.5,11.5,39.4,5.9,14.2,41.6,6.8,19.3,35,2014
Philadelphia 76ers,19.7,39,50.7,2.4,7.6,31.5,3.1,9.7,32.2,8.4,26.1,32.3,2014
Phoenix Suns,19.3,34,56.8,5.9,13.7,42.9,5,13.1,38.3,8.5,24.7,34.4,2014
Portland Trail Blazers,17.5,30.5,57.4,5,12,41.6,6.4,16.3,39.3,9.8,27,36.3,2014
Sacramento Kings,20.8,39,53.4,4.5,10.6,42.2,5.8,14.6,39.5,5.6,16.3,34.5,2014
San Antonio Spurs,20.5,35.9,56.9,5.5,12.8,43.3,4.9,12.4,39.5,8.3,22.4,36.9,2014
Toronto Raptors,19.7,34.6,57,4.6,11.5,39.6,4.8,12,39.6,8.9,25,35.5,2014
Utah Jazz,19.4,34.6,56.2,3.9,10.2,38.2,4.6,12.7,36.3,7.4,21.5,34.6,2014
Washington Wizards,19,32.8,58.1,5.8,14.2,40.6,7.4,19,39,6.1,16.7,36.3,2014
Atlanta Hawks,18.3,32.5,56.4,4.8,11.4,41.7,4.9,11.8,41.2,9.4,25.6,36.5,2013
Boston Celtics,17.5,33.1,52.9,4.6,11.4,40.6,7.4,18.4,40.2,7,20.9,33.6,2013
Brooklyn Nets,16.8,30,55.9,5.3,12,43.9,5,12.5,40.5,8.6,23.1,37.3,2013
Charlotte Bobcats,18.6,33.5,55.7,5.1,12.8,39.7,6.3,17.9,35.2,6.3,17.7,35.5,2013
Chicago Bulls,17.5,33.7,51.9,4,10.9,36.5,7,17.8,39.3,6.2,17.5,35.2,2013
Cleveland Cavaliers,17.8,34.5,51.8,5.4,13.6,39.2,6.7,16.7,40.2,7.1,19.7,36.1,2013
Dallas Mavericks,18.6,31.8,58.3,6.1,14.4,42.1,6.2,14.5,42.7,8.8,22.7,38.7,2013
Denver Nuggets,21.7,39.9,54.5,3.3,9.2,36.3,4.7,12.9,36.7,8.5,23.6,36.2,2013
Detroit Pistons,24.8,45.4,54.7,3,8.5,35.7,4.8,13.7,34.8,6.2,19,32.5,2013
Golden State Warriors,19.2,34.2,56.2,4.9,12,40.7,5.9,14.4,41.2,9.4,24.6,38.4,2013
Houston Rockets,24.2,42.2,57.5,2.5,6.5,38.2,1.8,5.3,34,9.4,26.4,35.8,2013
Indiana Pacers,17.2,31.8,54.1,5.1,13.1,38.6,7,16.4,42.6,6.7,18.6,36.1,2013
Los Angeles Clippers,19.2,31.1,61.8,4.3,10.2,42.1,7.1,17.2,41.6,8.4,23.7,35.4,2013
Los Angeles Lakers,18.4,33.3,55.3,5,12.7,39.7,5.4,14.4,37.5,9.4,24.6,38.3,2013
Memphis Grizzlies,21.8,39.5,55.1,5.2,12.8,40.9,6.1,15.7,39,4.9,13.8,35.8,2013
Miami Heat,21,32.5,64.4,4,8.8,44.8,5.3,12.8,41.4,8.1,22.2,36.4,2013
Milwaukee Bucks,19.1,36.9,51.8,4.3,11.4,38.2,5.9,14.9,39.2,6.7,18.8,35.5,2013
Minnesota Timberwolves,22.1,39.7,55.7,4,11.1,36.2,5.4,15.2,35.7,7.3,21.2,34.4,2013
New Orleans Pelicans,20.8,39.5,52.6,4.9,11.8,41.3,6.2,15.2,40.9,5.9,15.6,38,2013
New York Knicks,15.7,28.1,55.8,4.4,10.9,40,7.6,18.3,41.6,9.2,24.6,37.6,2013
Oklahoma City Thunder,19.2,33,58.3,5.9,13.5,43.4,5.8,13.8,41.8,8.1,22.2,36.5,2013
Orlando Magic,17.4,32.4,53.7,4.9,11.7,42.3,7.6,19.2,39.9,6.9,19.2,35.6,2013
Philadelphia 76ers,23.4,44.7,52.4,3.8,10.2,37.3,3.6,9.7,37.2,7,22.3,31.5,2013
Phoenix Suns,19.3,33.6,57.5,5.2,12.9,40.6,4.8,11.9,40.2,9.3,24.8,37.5,2013
Portland Trail Blazers,17.5,31.4,55.6,4.6,12.3,37.7,7.6,18,42.3,9.4,25.1,37.4,2013
Sacramento Kings,20.1,37.1,54.1,4.9,11.9,41.1,5.9,15.5,38.2,6,17.9,33.5,2013
San Antonio Spurs,21.6,36.1,59.7,4.2,10.8,39.2,6.2,15.1,41.3,8.5,21.2,40.1,2013
Toronto Raptors,17.7,32.2,55,4.6,11.5,39.6,5.5,14.8,37.2,8.7,23.2,37.4,2013
Utah Jazz,19,34,55.8,4.4,11.8,37.4,6,16.1,37.1,6.6,18.9,35,2013
Washington Wizards,19.2,32.7,58.8,4.5,12.3,36.5,7.1,18.6,38.4,7.9,20.6,38.2,2013
Atlanta Hawks,19.3,32.8,58.9,3.2,8.3,38.4,6.5,16.8,38.9,8.6,23,37.4,2012
Boston Celtics,16.9,30.7,55,5.7,12.8,44,8.3,19,43.8,6.2,16.9,36.5,2012
Brooklyn Nets,18.8,34.5,54.3,4.6,11.6,39.5,4.9,12.3,40,7.7,21.3,36,2012
Charlotte Bobcats,17.8,34.9,51,4.4,12,36.8,6.5,17.2,37.9,5.7,16.8,34,2012
Chicago Bulls,18.3,34,53.8,5.1,13.8,37.3,6.8,18.5,36.7,5.4,15.2,35.7,2012
Cleveland Cavaliers,18.1,35.8,50.7,5.2,13.3,39.1,6.5,15.8,41.1,6.7,19.1,34.8,2012
Dallas Mavericks,17.8,31.7,56,7,17.2,41.1,6.6,15.3,43.1,7.4,19.6,37.7,2012
Denver Nuggets,27.5,47.5,58.1,3.4,9.4,35.9,3.5,9.8,35.2,6.4,18.2,34.9,2012
Detroit Pistons,22.3,41.5,53.6,2.8,8.2,34.3,5,13.7,36.5,6.3,17.3,36.2,2012
Golden State Warriors,16.8,31,54.3,5.4,13.5,39.8,8,19.1,41.8,8,19.6,40.8,2012
Houston Rockets,22.2,39,56.9,2.1,6.1,34.3,3.2,8.7,37.2,10.5,28.7,36.7,2012
Indiana Pacers,18.2,34,53.6,4.8,12.5,38,5.3,14.3,37.1,6.9,19.4,35.3,2012
Los Angeles Clippers,20.8,34.3,60.5,4,9.2,43.1,6.2,15.7,39.2,7.6,21.2,36.1,2012
Los Angeles Lakers,19.3,34.3,56.2,4,9.4,42.5,5.1,12.7,40.2,8.7,24.3,35.7,2012
Memphis Grizzlies,19.1,37.1,51.5,5.5,13.7,40.4,6.8,17.1,40,4.7,13.3,34.9,2012
Miami Heat,19.1,30,63.4,4,10.5,38.6,6.5,14.8,44.1,8.7,21.9,39.9,2012
Milwaukee Bucks,19.9,38.3,52,5,13.1,38.1,5.9,16,37,7.3,20.3,36.2,2012
Minnesota Timberwolves,19.5,36.1,54.1,3.6,9.1,39.3,7.3,18.5,39.3,5.5,17.9,30.7,2012
New Orleans Hornets,19.6,37.2,52.7,4.3,11.1,38.4,5.6,14.1,40.2,6.5,17.8,36.7,2012
New York Knicks,16.2,29.1,55.5,3.3,8.2,39.6,6.2,15.3,40.8,10.9,28.5,38,2012
Oklahoma City Thunder,19,32,59.4,5.8,13.2,43.8,6,14.7,40.9,7.3,19.2,37.9,2012
Orlando Magic,19.8,35.2,56.1,5.2,12.9,40.2,6.6,17.3,38.1,6.2,18.6,33.1,2012
Philadelphia 76ers,17.6,32.3,54.3,6.1,15,40.7,7.3,19.2,38.1,6.3,17.4,36.4,2012
Phoenix Suns,18.6,33.8,55,5,12.9,38.8,7.9,20,39.6,5.8,17.5,33.3,2012
Portland Trail Blazers,17.3,31.1,55.7,4.3,10.3,42.3,6.8,17.3,39.4,8.2,23,35.6,2012
Sacramento Kings,21.4,39.6,54.1,3.6,9.6,37.8,5.1,14.5,35.4,7.4,20.3,36.6,2012
San Antonio Spurs,20.8,35.6,58.5,4.6,11,41.8,5.6,13.2,42.4,8.1,21.3,37.9,2012
Toronto Raptors,17.6,30.8,57.2,5.1,12.6,40.7,6.7,17.9,37.2,7,20.2,34.5,2012
Utah Jazz,19.5,34.8,55.9,4.5,11.9,37.9,7,18.3,38.3,6.2,16.7,37.1,2012
