team,under_5_ft_fgm,under_5_ft_fga,_5to9_fgm,_5to9_fga,_10to14_fgm,_10to14_fga,_15to19_fgm,_15to19_fga,_20to24_fgm,_20to24_fga,_25to29_fgm,_25to29_fga,season
Milwaukee Bucks,16.2,29.7,2.6,7.1,4.4,10.5,7.4,17.7,3.3,9,2.2,6,2004
Minnesota Timberwolves,12.1,20,4,9.4,4.9,11.2,7.7,18.5,6.8,16,1.7,5.4,2004
New Jersey Nets,12.4,23.6,2.9,7.3,2.4,6.9,7.5,17.9,6.6,17,1.7,5.1,2004
New Orleans Hornets,13.6,25.7,2.3,6.3,2.6,7,7.4,18.7,5.6,16.6,1.7,5.5,2004
New York Knicks,15.3,26.8,3.3,8.6,2.7,6.7,7.2,18.3,5.8,13.7,2,5.8,2004
Orlando Magic,16.6,28.8,2.5,6.5,3.7,9.5,7.6,19,4.4,11.4,2.2,6,2004
Philadelphia 76ers,16.5,29,2.7,7.3,2.9,8.1,6,16.2,4.8,12.1,2.9,9,2004
Phoenix Suns,17.1,27.3,3.6,8.6,3.2,7.8,5.8,13.7,7.2,17.1,3.9,10.7,2004
Portland Trail Blazers,17.7,30.3,3.2,8.6,2.2,6.5,4.9,13,6,15.2,1.5,4.7,2004
Sacramento Kings,14.8,24.7,3.4,7.8,1.6,4.6,9.1,21.7,8.2,20,1.9,5.9,2004
San Antonio Spurs,17,28.4,4,10.4,2.7,7.1,4.4,12.3,6.3,15.9,1.2,4.3,2004
Seattle SuperSonics,14.9,26.5,3.4,8.1,2.8,7.1,4.4,11.7,6.2,15.2,3.4,10.2,2004
Toronto Raptors,13.7,25,3.3,7.9,3.1,8.1,6.3,15.1,7,17.2,2.6,7.4,2004
Utah Jazz,15.8,27.7,2,5.3,2.8,7.8,6.8,17.6,6.4,15.8,0.7,2.3,2004
Washington Wizards,16.5,27.9,3.2,9.9,2.7,7.7,4.7,13.1,5.5,13.7,3.5,10.2,2004
Atlanta Hawks,15.1,27.2,3.2,8.7,3.2,9,6.2,15.5,4.5,12,2.3,7.1,2003
Boston Celtics,14.5,25.6,2.5,6.5,2.8,6.9,6.2,15,6.1,15.7,2.6,8.1,2003
Chicago Bulls,13.3,25.5,3.4,8.5,3,8.5,7.2,19.3,5.1,12.8,2.3,7.1,2003
Cleveland Cavaliers,16.8,30.6,3.6,9.8,4.7,12,6.3,17.1,3.2,9.1,1,3.4,2003
Dallas Mavericks,17.2,28.6,4.5,11.1,3.4,8.1,6.9,17,6.5,17,1.9,6,2003
Denver Nuggets,17.7,30.4,2.6,7.1,2.8,7.5,7.1,19.4,4.8,12.8,1.5,4.7,2003
Detroit Pistons,15.6,28.3,3.4,9.7,4.3,10.6,5,13.7,3.1,8.2,2.1,6.3,2003
Golden State Warriors,16.3,27.8,3.4,9.4,2.5,7.1,6.2,15.5,4.1,11.4,2.5,7.8,2003
Houston Rockets,13,22.3,3.5,9.5,3.2,8.3,5.3,13.2,5.6,14.2,2.8,7.7,2003
Indiana Pacers,14.4,25.8,3.1,8.4,3.4,9.3,5.9,14.9,4.2,11.2,2.5,7.1,2003
Los Angeles Clippers,16.8,30,3.8,9.8,2.7,7.8,4.8,14.4,3.8,10.7,2.4,7.2,2003
Los Angeles Lakers,17.8,28.8,3.6,9.5,2.8,7.9,6.2,16.3,4.5,12.3,2.1,6.4,2003
Memphis Grizzlies,17.8,30.4,4.2,11.1,2.1,6.1,4.7,13.1,5.1,12.8,2.3,7.2,2003
Miami Heat,14.1,26,3.4,8.5,2.1,6.6,6.1,16.1,5.9,15.9,1.7,5.1,2003
Milwaukee Bucks,16.4,29,3.9,9.3,4.2,11.2,5.5,14.3,3.6,9.8,2.7,7.4,2003
Minnesota Timberwolves,11.4,18.9,4,9.4,5.6,12.9,9.3,21.8,5.4,12.7,1.2,4.1,2003
New Jersey Nets,16.3,27.5,2.4,6.9,2.3,6.4,6.5,17,5.5,14.7,1.3,4.7,2003
New Orleans Hornets,14.2,25.7,2.6,7.2,2.7,7.6,6.1,15.2,6.3,17.7,2,6.9,2003
New York Knicks,12.9,23.2,4,9.7,4.5,10.7,7.2,17.8,4.9,12.8,1.6,4.8,2003
Orlando Magic,12.6,23.6,3.8,9.2,3.5,9,7.6,18.9,5.2,13.6,2.7,7.9,2003
Philadelphia 76ers,14.5,26.5,2.9,7.9,3.7,10.4,6.2,16.3,3.8,9.8,1.6,5.2,2003
Phoenix Suns,16.5,28.5,4,9.2,3,9,5.9,15.6,5.2,13,1.5,5.7,2003
Portland Trail Blazers,15.7,27.1,4,10,3.6,8.5,5.2,14,5.6,14.6,1.3,4.4,2003
Sacramento Kings,15.5,25.8,2.4,7.3,1.9,5.1,7.8,18.5,8,19.1,2.2,5.7,2003
San Antonio Spurs,15.8,26.9,3.7,10.7,3.1,8.3,5.5,14.6,5.2,13.8,1.4,4.1,2003
Seattle SuperSonics,14.4,24.2,3.3,8.2,3.1,7.8,4.3,12,6.7,16.5,4.1,11.2,2003
Toronto Raptors,11.9,21.1,3.1,7.9,3.1,9,6.3,17.9,6.6,17.3,1.2,3.9,2003
Utah Jazz,15.5,28.8,1.7,4.5,2.1,5.9,6,16.3,6.8,16.8,0.8,2.8,2003
Washington Wizards,16.1,28.7,2.9,8.9,2.5,7.7,4.7,13.6,4.7,12.2,2.8,8.6,2003
Atlanta Hawks,13.4,23.8,3.7,9.8,4.7,10.8,7,17.2,3.9,10,2.2,6.7,2002
Boston Celtics,14,24.5,2.7,7.9,2.2,6.7,4,11.1,6.4,17.7,3.6,11.1,2002
Chicago Bulls,16.6,28.9,4.6,11.5,3.6,9.7,5.5,14.9,4.1,11,2,5.5,2002
Cleveland Cavaliers,16.2,29.2,3,8.9,4,11.2,7,19.3,3.4,9.8,1.1,3.4,2002
Dallas Mavericks,14.6,24.6,3.5,8.2,3.6,9.2,6.4,16.5,8.3,20.5,2.2,6.3,2002
Denver Nuggets,14.6,26.6,3.5,10.7,2.9,7.8,7.2,19.5,3.5,10.9,1.1,4.1,2002
Detroit Pistons,12.5,22.5,3.3,8,3.2,8.5,5.9,15.4,4.3,11.5,3.7,10.4,2002
Golden State Warriors,16.6,28.8,4.3,11.6,3.1,7.9,6,16.2,4.9,13,2.4,7,2002
Houston Rockets,15.3,26.1,3.6,9.4,2.9,8,5.1,13.2,5.1,14.1,2.7,7.6,2002
Indiana Pacers,15.5,26.4,3.4,9.2,3.8,10.3,6.2,16.5,3.9,10.6,2.7,7.4,2002
Los Angeles Clippers,16,28,5,12.5,2.8,8.7,4.3,11,3.5,10.2,2.9,8.3,2002
Los Angeles Lakers,15.9,25.7,4.3,11.2,3,8.7,6.1,15.2,5.5,14.6,2.8,7.8,2002
Memphis Grizzlies,15.3,25.7,4.9,12.1,3.1,8.3,6.1,14.9,5.2,13.5,2.6,7.3,2002
Miami Heat,12.1,22.3,3,7.8,3.4,9.1,8,21.1,4.9,14.8,1.4,4,2002
Milwaukee Bucks,14,24.1,3.5,8.7,5.3,12.4,5.8,14.2,5,12.6,3.5,9,2002
Minnesota Timberwolves,13.8,22.5,4.5,10.7,4.3,10.1,9.1,21.8,5.4,13.5,1.5,4.2,2002
New Jersey Nets,17.2,29.1,3.2,8.8,2.3,6.7,6.3,17.3,5,13.7,1.4,4.4,2002
New Orleans Hornets,13.9,25.4,3.2,8.1,4.6,11.2,6.8,18.3,5.7,13.9,1.5,4.6,2002
New York Knicks,10.7,20.1,4,9.1,5.2,12.1,6.9,17,7,17,2.3,6.5,2002
Orlando Magic,14.2,25.8,1.8,4.9,2.2,5.6,7.6,18.8,6.9,17.8,3.3,9.2,2002
Philadelphia 76ers,18.5,32.3,3.5,9.1,3.5,10.6,6.2,15.9,3.1,7.8,1.5,5,2002
Phoenix Suns,16.4,29.3,3.7,9.6,3.3,8.6,6.6,16.4,5.3,13.9,1.2,4.4,2002
Portland Trail Blazers,17.3,28.4,3.7,9.3,3.4,8.1,5.2,13.6,5.6,15.4,1.2,4.2,2002
Sacramento Kings,16.7,26.7,3.5,9.4,2.3,6,7.9,19.4,7.6,18.5,1.5,4.8,2002
San Antonio Spurs,17.4,29,4,9.5,3.1,8.1,4.3,11.7,5.4,14,1.3,4.3,2002
Seattle SuperSonics,14,24.2,3.8,10,3.1,7.6,6.5,17.2,5.2,14,2.5,7.1,2002
Toronto Raptors,13.9,24.7,3.4,8.9,3.2,8.5,6.4,17.6,5.8,14.8,2,6.4,2002
Utah Jazz,16.8,27.7,2.1,6.1,2.9,7.7,8.1,19.9,4.6,11.6,0.8,2.4,2002
Washington Wizards,12.1,21,2.3,7.2,4.8,11.6,9.4,22.7,4.3,10.6,1.4,4.8,2002
